H,電力需給調整力取引所取引結果,対象年月,商品区分,ブロック数
P,速報値,202601,複合商品,8
TT,取引情報,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,合計
20260102B02,応札量合計（電源属地別）[MW],265.64,406.52,707.057,11.707,78,1049.431,335.871,85.93,483.342,3423.498
20260102B02,落札量合計（電源属地別）[MW],23,406.52,400.031,11.707,78,359.647,139.145,65.93,160.342,1644.322
20260102B02,応札件数（電源属地別）[件],6,5,26,6,1,10,6,6,9,75
20260102B02,落札件数（電源属地別）[件],2,5,24,6,1,10,5,5,8,66
20260102B02,最高落札価格（電源属地別）[円/kW・30分],4.5,19.51,19.51,19.51,0.77,19.51,19.49,19,19.51,19.51
20260102B02,最低落札価格（電源属地別）[円/kW・30分],4.5,1.43,0.36,19.47,0.77,0.36,0.36,0.53,0.36,0.36
20260102B02,平均落札価格（電源属地別）[円/kW・30分],4.5,3.16,2.79,19.49,0.77,6.05,1.29,3.3,1.43,3.4
20260102B02,最高落札価格（TSO別）[円/kW・30分],4.5,19.51,19.51,0,0.77,19.51,19.51,10.25,19.51,19.51
20260102B02,最低落札価格（TSO別）[円/kW・30分],4.5,1.43,0.36,0,0.77,0.36,0.36,0.53,0.36,0.36
20260102B02,平均落札価格（TSO別）[円/kW・30分],4.5,3.16,2.79,0,0.77,6.1,1.5,5.54,1.86,3.4
20260102B02,落札量合計（TSO別）[MW],23,406.52,400.031,0,78,338.22,126.209,74,198.342,1644.322
20260102B02,（内訳）自エリアからの落札量[MW],23,406.52,400.031,0,78,326.687,111.105,51,160.342,1556.685
20260102B03,募集量（TSO別）[MW],58,641,505,460,155,534,400,144,397,3294
20260102B03,応札量合計（電源属地別）[MW],276.44,666.52,1428.088,9.717,155,1239.931,335.871,155.93,516.342,4783.839
20260102B03,落札量合計（電源属地別）[MW],58,666.52,559.895,9.717,155,526.389,290.01,155.93,314.342,2735.803
20260102B03,応札件数（電源属地別）[件],6,6,40,5,2,11,6,5,8,89
