H,電力需給調整力取引所取引結果,対象年月,商品区分,ブロック数
P,速報値,202603,複合商品,48
TT,取引情報,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,合計
20260314B06,最低落札価格（電源属地別）[円/kW・30分],1.1,1.31,0.36,0.5,2.21,0.86,1.24,0.35,4.17,0.35
20260314B06,平均落札価格（電源属地別）[円/kW・30分],3.22,1.65,1.74,0.86,2.21,0.94,5.91,3.12,5,2.97
20260314B06,最高落札価格（TSO別）[円/kW・30分],4.1,15,15,2.34,2.21,2.98,12.42,4.77,6.37,15
20260314B06,最低落札価格（TSO別）[円/kW・30分],1.1,1.31,0.36,0.5,2.21,0.86,1.24,0.35,4.17,0.35
20260314B06,平均落札価格（TSO別）[円/kW・30分],3.22,1.65,1.74,0.86,2.21,0.94,5.91,3.12,5,2.97
20260314B06,落札量合計（TSO別）[MW],20,231.35,616.428,126.999,9.156,47.762,243.063,93,351,1738.758
20260314B06,（内訳）自エリアからの落札量[MW],20,231.35,616.428,126.999,9.156,47.762,243.063,93,351,1738.758
20260314B07,募集量（TSO別）[MW],65,343,457,99,109,521,280,94,347,2315
20260314B07,応札量合計（電源属地別）[MW],36.558,631.35,1946.549,423.159,70.064,5.956,248.992,145.473,357.75,3865.851
20260314B07,落札量合計（電源属地別）[MW],24.65,227.35,683.624,131.374,70.064,5.956,248.992,94,347,1833.01
20260314B07,応札件数（電源属地別）[件],6,4,45,19,1,3,9,7,12,106
20260314B07,落札件数（電源属地別）[件],6,4,36,4,1,3,9,3,6,72
20260314B07,最高落札価格（電源属地別）[円/kW・30分],4.5,15,15,1.85,2.03,15,15,4.77,6.22,15
20260314B07,最低落札価格（電源属地別）[円/kW・30分],2,1.46,0.36,0.5,2.03,15,1.09,0.35,4.2,0.35
20260314B07,平均落札価格（電源属地別）[円/kW・30分],3.91,1.78,1.79,1.08,2.03,15,6.12,1.81,5.2,3.05
20260314B07,最高落札価格（TSO別）[円/kW・30分],4.5,15,15,1.85,2.03,15,15,4.77,6.22,15
20260314B07,最低落札価格（TSO別）[円/kW・30分],2,1.46,0.36,0.5,2.03,15,1.09,0.35,4.2,0.35
20260314B07,平均落札価格（TSO別）[円/kW・30分],3.91,1.78,1.79,1.08,2.03,15,6.12,1.81,5.2,3.05
20260314B07,落札量合計（TSO別）[MW],24.65,227.35,683.624,131.374,70.064,5.956,248.992,94,347,1833.01
20260314B07,（内訳）自エリアからの落札量[MW],24.65,227.35,683.624,131.374,70.064,5.956,248.992,94,347,1833.01
20260314B08,募集量（TSO別）[MW],65,343,458,106,108,519,283,94,349,2325
20260314B08,応札量合計（電源属地別）[MW],36.558,631.35,1724.107,454.575,65.546,5.956,248.992,157.473,357.85,3682.407
20260314B08,落札量合計（電源属地別）[MW],25.65,225.35,773.076,106,65.546,5.956,248.992,94,349,1893.57
20260314B08,応札件数（電源属地別）[件],6,4,43,21,1,3,9,7,11,105
20260314B08,落札件数（電源属地別）[件],6,4,35,5,1,3,9,4,6,73
20260314B08,最高落札価格（電源属地別）[円/kW・30分],4.5,15,15,2.53,2,15,15,4.78,6.18,15
20260314B08,最低落札価格（電源属地別）[円/kW・30分],2,1.48,0.36,0.5,2,15,1.05,0.35,4.16,0.35
20260314B08,平均落札価格（電源属地別）[円/kW・30分],3.93,1.8,1.84,1.14,2,15,6.12,0.91,5.16,3
20260314B08,最高落札価格（TSO別）[円/kW・30分],4.5,15,15,2.53,2,15,15,4.78,6.18,15
20260314B08,最低落札価格（TSO別）[円/kW・30分],2,1.48,0.36,0.5,2,15,1.05,0.35,4.16,0.35
20260314B08,平均落札価格（TSO別）[円/kW・30分],3.93,1.8,1.84,1.14,2,15,6.12,0.91,5.16,3
20260314B08,落札量合計（TSO別）[MW],25.65,225.35,773.076,106,65.546,5.956,248.992,94,349,1893.57
20260314B08,（内訳）自エリアからの落札量[MW],25.65,225.35,773.076,106,65.546,5.956,248.992,94,349,1893.57
20260314B09,募集量（TSO別）[MW],65,343,459,107,109,528,292,94,352,2349
20260314B09,応札量合計（電源属地別）[MW],51.863,631.35,1573.815,410.903,96.856,5.956,426.992,157.473,360.85,3716.058
20260314B09,落札量合計（電源属地別）[MW],40.955,224.35,789.756,131.374,96,5.956,292,94,352,2026.391
20260314B09,応札件数（電源属地別）[件],7,4,40,19,1,3,10,7,13,104
20260314B09,落札件数（電源属地別）[件],7,4,32,4,1,3,5,4,8,68
20260314B09,最高落札価格（電源属地別）[円/kW・30分],4.53,15,15,2.24,2.21,15,6.22,4.78,6.29,15
20260314B09,最低落札価格（電源属地別）[円/kW・30分],2,1.31,0.36,0.5,2.21,15,1.15,0.35,4.27,0.35
20260314B09,平均落札価格（電源属地別）[円/kW・30分],4.16,1.66,1.7,0.93,2.21,15,3.5,0.96,5.26,2.6
20260314B09,最高落札価格（TSO別）[円/kW・30分],4.53,15,15,2.24,2.21,15,6.22,4.78,6.29,15
20260314B09,最低落札価格（TSO別）[円/kW・30分],2,1.31,0.36,0.5,2.21,15,1.15,0.35,4.27,0.35
20260314B09,平均落札価格（TSO別）[円/kW・30分],4.16,1.66,1.7,0.93,2.21,15,3.5,0.96,5.26,2.6
20260314B09,落札量合計（TSO別）[MW],40.955,224.35,789.756,131.374,96,5.956,292,94,352,2026.391
20260314B09,（内訳）自エリアからの落札量[MW],40.955,224.35,789.756,131.374,96,5.956,292,94,352,2026.391
20260314B10,募集量（TSO別）[MW],65,343,459,112,109,528,292,94,366,2368
20260314B10,応札量合計（電源属地別）[MW],53.108,631.35,2245.621,485.973,132.934,5.956,426.992,157.473,376.75,4516.157
