H,電力需給調整力取引所取引結果,対象年月,商品区分,ブロック数
P,確報値,202602,二次調整力2,8
TT,調達区分,取引情報,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,合計
20260201B02,合計（確報値）,（内訳）自エリアからの約定量[MW],22.25,70,240.97,195.464,71,404.752,193.208,30,180,1407.644
20260201B03,システム約定結果,募集量（TSO別）[MW],39,288,0,249,55,187,169,71,125,1183
20260201B03,システム約定結果,応札量合計（電源属地別）[MW],179.89,277,979.129,169.83,104,701.404,304.51,71,303,3089.763
20260201B03,システム約定結果,落札量合計（電源属地別）[MW],46.89,239,758.537,153.855,104,507.713,210.208,71,203,2294.203
20260201B03,システム約定結果,応札件数（電源属地別）[件],6,3,8,4,2,6,7,3,6,45
20260201B03,システム約定結果,落札件数（電源属地別）[件],5,3,7,4,2,6,7,3,3,40
20260201B03,システム約定結果,最高落札価格（電源属地別）[円/kW・30分],15.9,2.48,5.11,3.71,1.81,8.7,3.54,7.27,1.24,15.9
20260201B03,システム約定結果,最低落札価格（電源属地別）[円/kW・30分],7.21,1.66,0.36,2.23,1.62,0.36,1.3,0.36,1.05,0.36
20260201B03,システム約定結果,平均落札価格（電源属地別）[円/kW・30分],13.69,2.14,1.71,3.45,1.68,4.51,2.37,2.07,1.21,2.76
20260201B03,システム約定結果,最高落札価格（TSO別）[円/kW・30分],15.9,2.48,5.11,3.71,1.81,8.7,3.54,7.27,1.24,15.9
20260201B03,システム約定結果,最低落札価格（TSO別）[円/kW・30分],7.21,0.36,0.36,0.36,1.62,0.36,0.36,0.36,1.05,0.36
20260201B03,システム約定結果,平均落札価格（TSO別）[円/kW・30分],13.69,1.67,2.44,1.78,1.68,4.62,2.3,1.94,1.21,2.76
20260201B03,システム約定結果,落札量合計（TSO別）[MW],46.89,324,493,334.392,104,494.713,217.208,77,203,2294.203
20260201B03,システム約定結果,（内訳）自エリアからの落札量[MW],46.89,239,493,153.855,104,494.713,210.208,71,203,2015.666
20260201B03,追加調達結果,募集量（TSO別）[MW],-,-,-,-,-,-,-,-,-,-
20260201B03,追加調達結果,応札量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20260201B03,追加調達結果,約定量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20260201B03,追加調達結果,応札件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20260201B03,追加調達結果,約定件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20260201B03,追加調達結果,最高約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260201B03,追加調達結果,最低約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260201B03,追加調達結果,平均約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260201B03,追加調達結果,最高約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260201B03,追加調達結果,最低約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260201B03,追加調達結果,平均約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260201B03,追加調達結果,約定量合計（TSO別）[MW],0,0,0,0,0,0,0,0,0,0
20260201B03,追加調達結果,（内訳）自エリアからの約定量[MW],0,0,0,0,0,0,0,0,0,0
20260201B03,合計（確報値）,募集量（TSO別）[MW],39,288,0,249,55,187,169,71,125,1183
20260201B03,合計（確報値）,応札量合計（電源属地別）[MW],219.89,277,979.129,169.83,104,701.404,304.51,71,303,3129.763
20260201B03,合計（確報値）,約定量合計（電源属地別）[MW],46.89,239,758.537,153.855,104,507.713,210.208,71,203,2294.203
20260201B03,合計（確報値）,応札件数（電源属地別）[件],9,3,8,4,2,6,7,3,6,48
20260201B03,合計（確報値）,約定件数（電源属地別）[件],6,3,7,4,2,6,7,3,3,41
20260201B03,合計（確報値）,最高約定価格（電源属地別）[円/kW・30分],15.9,2.48,5.11,3.71,1.81,8.7,3.54,7.27,1.24,15.9
20260201B03,合計（確報値）,最低約定価格（電源属地別）[円/kW・30分],7.21,1.66,0.36,2.23,1.62,0.36,1.3,0.36,1.05,0.36
20260201B03,合計（確報値）,平均約定価格（電源属地別）[円/kW・30分],13.69,2.14,1.71,3.45,1.68,4.51,2.37,2.07,1.21,2.76
20260201B03,合計（確報値）,最高約定価格（TSO別）[円/kW・30分],15.9,2.48,5.11,3.71,1.81,8.7,3.54,7.27,1.24,15.9
20260201B03,合計（確報値）,最低約定価格（TSO別）[円/kW・30分],7.21,0.36,0.36,0.36,1.62,0.36,0.36,0.36,1.05,0.36
20260201B03,合計（確報値）,平均約定価格（TSO別）[円/kW・30分],13.69,1.67,2.44,1.78,1.68,4.62,2.3,1.94,1.21,2.76
20260201B03,合計（確報値）,約定量合計（TSO別）[MW],46.89,324,493,334.392,104,494.713,217.208,77,203,2294.203
20260201B03,合計（確報値）,（内訳）自エリアからの約定量[MW],46.89,239,493,153.855,104,494.713,210.208,71,203,2015.666
20260201B04,システム約定結果,募集量（TSO別）[MW],34,0,0,227,61,57,159,108,95,741
20260201B04,システム約定結果,応札量合計（電源属地別）[MW],168.79,188,805.557,0,140,618.42,304.51,108,371,2704.277
20260201B04,システム約定結果,落札量合計（電源属地別）[MW],35,169,603.98,0,140,587.474,199.734,108,203,2046.188
20260201B04,システム約定結果,応札件数（電源属地別）[件],7,2,7,0,2,6,7,4,6,41
20260201B04,システム約定結果,落札件数（電源属地別）[件],3,2,6,0,2,5,7,4,3,32
20260201B04,システム約定結果,最高落札価格（電源属地別）[円/kW・30分],14.45,3.29,0.36,0,0.35,11.49,1.41,10.56,0.36,14.45
20260201B04,システム約定結果,最低落札価格（電源属地別）[円/kW・30分],10.99,2.16,0.36,0,0.35,0.36,0.36,0.36,0.36,0.35
20260201B04,システム約定結果,平均落札価格（電源属地別）[円/kW・30分],13.51,2.63,0.36,0,0.35,5.13,0.87,3.12,0.36,2.34
20260201B04,システム約定結果,最高落札価格（TSO別）[円/kW・30分],14.45,3.29,0.36,0,0.35,11.49,1.41,10.56,0.36,14.45
20260201B04,システム約定結果,最低落札価格（TSO別）[円/kW・30分],10.99,2.16,0.36,0,0.35,0.36,0.36,0.36,0.36,0.35
20260201B04,システム約定結果,平均落札価格（TSO別）[円/kW・30分],13.51,2.63,0.36,0,0.35,5.7,0.83,2.27,0.36,2.34
20260201B04,システム約定結果,落札量合計（TSO別）[MW],35,169,603.98,0,140,524,215.208,156,203,2046.188
20260201B04,システム約定結果,（内訳）自エリアからの落札量[MW],35,169,603.98,0,140,524,199.734,108,203,1982.714
20260201B04,追加調達結果,募集量（TSO別）[MW],-,-,-,-,-,-,-,-,-,-
20260201B04,追加調達結果,応札量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20260201B04,追加調達結果,約定量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20260201B04,追加調達結果,応札件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20260201B04,追加調達結果,約定件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20260201B04,追加調達結果,最高約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260201B04,追加調達結果,最低約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260201B04,追加調達結果,平均約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260201B04,追加調達結果,最高約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260201B04,追加調達結果,最低約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260201B04,追加調達結果,平均約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260201B04,追加調達結果,約定量合計（TSO別）[MW],0,0,0,0,0,0,0,0,0,0
20260201B04,追加調達結果,（内訳）自エリアからの約定量[MW],0,0,0,0,0,0,0,0,0,0
20260201B04,合計（確報値）,募集量（TSO別）[MW],34,0,0,227,61,57,159,108,95,741
20260201B04,合計（確報値）,応札量合計（電源属地別）[MW],184,188,805.557,0,140,618.42,304.51,108,371,2719.487
20260201B04,合計（確報値）,約定量合計（電源属地別）[MW],35,169,603.98,0,140,587.474,199.734,108,203,2046.188
20260201B04,合計（確報値）,応札件数（電源属地別）[件],8,2,7,0,2,6,7,4,6,42
20260201B04,合計（確報値）,約定件数（電源属地別）[件],3,2,6,0,2,5,7,4,3,32
20260201B04,合計（確報値）,最高約定価格（電源属地別）[円/kW・30分],14.45,3.29,0.36,0,0.35,11.49,1.41,10.56,0.36,14.45
20260201B04,合計（確報値）,最低約定価格（電源属地別）[円/kW・30分],10.99,2.16,0.36,0,0.35,0.36,0.36,0.36,0.36,0.35
20260201B04,合計（確報値）,平均約定価格（電源属地別）[円/kW・30分],13.51,2.63,0.36,0,0.35,5.13,0.87,3.12,0.36,2.34
20260201B04,合計（確報値）,最高約定価格（TSO別）[円/kW・30分],14.45,3.29,0.36,0,0.35,11.49,1.41,10.56,0.36,14.45
20260201B04,合計（確報値）,最低約定価格（TSO別）[円/kW・30分],10.99,2.16,0.36,0,0.35,0.36,0.36,0.36,0.36,0.35
20260201B04,合計（確報値）,平均約定価格（TSO別）[円/kW・30分],13.51,2.63,0.36,0,0.35,5.7,0.83,2.27,0.36,2.34
20260201B04,合計（確報値）,約定量合計（TSO別）[MW],35,169,603.98,0,140,524,215.208,156,203,2046.188
20260201B04,合計（確報値）,（内訳）自エリアからの約定量[MW],35,169,603.98,0,140,524,199.734,108,203,1982.714
20260201B05,システム約定結果,募集量（TSO別）[MW],3,0,0,0,47,0,59,77,0,186
20260201B05,システム約定結果,応札量合計（電源属地別）[MW],157.99,99,632.673,0,140,703.404,304.51,77,371,2485.577
20260201B05,システム約定結果,落札量合計（電源属地別）[MW],41,99,38.7,0,140,448.713,199.734,77,237,1281.147
20260201B05,システム約定結果,応札件数（電源属地別）[件],6,1,6,0,2,7,7,5,6,40
20260201B05,システム約定結果,落札件数（電源属地別）[件],2,1,1,0,2,6,7,5,4,28
20260201B05,システム約定結果,最高落札価格（電源属地別）[円/kW・30分],0.37,2.23,0.36,0,0.35,12.31,0.56,15.71,0.38,15.71
20260201B05,システム約定結果,最低落札価格（電源属地別）[円/kW・30分],0.36,2.23,0.36,0,0.35,0.36,0.36,0.36,0.36,0.35
20260201B05,システム約定結果,平均落札価格（電源属地別）[円/kW・30分],0.36,2.23,0.36,0,0.35,6.67,0.46,5.53,0.36,3.04
20260201B05,システム約定結果,最高落札価格（TSO別）[円/kW・30分],0.37,2.23,0.36,0,0.35,12.31,0.56,15.71,0.38,15.71
20260201B05,システム約定結果,最低落札価格（TSO別）[円/kW・30分],0.36,2.23,0.36,0,0.35,0.36,0.36,0.36,0.36,0.35
20260201B05,システム約定結果,平均落札価格（TSO別）[円/kW・30分],0.36,2.23,0.36,0,0.35,6.45,0.46,6.68,0.36,3.04
20260201B05,システム約定結果,落札量合計（TSO別）[MW],41,99,38.7,0,140,392.713,199.734,133,237,1281.147
20260201B05,システム約定結果,（内訳）自エリアからの落札量[MW],41,99,38.7,0,140,392.713,199.734,77,237,1225.147
20260201B05,追加調達結果,募集量（TSO別）[MW],-,-,-,-,-,-,-,-,-,-
20260201B05,追加調達結果,応札量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20260201B05,追加調達結果,約定量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20260201B05,追加調達結果,応札件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20260201B05,追加調達結果,約定件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20260201B05,追加調達結果,最高約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260201B05,追加調達結果,最低約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260201B05,追加調達結果,平均約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260201B05,追加調達結果,最高約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260201B05,追加調達結果,最低約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260201B05,追加調達結果,平均約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260201B05,追加調達結果,約定量合計（TSO別）[MW],0,0,0,0,0,0,0,0,0,0
20260201B05,追加調達結果,（内訳）自エリアからの約定量[MW],0,0,0,0,0,0,0,0,0,0
20260201B05,合計（確報値）,募集量（TSO別）[MW],3,0,0,0,47,0,59,77,0,186
20260201B05,合計（確報値）,応札量合計（電源属地別）[MW],198.99,99,632.673,0,140,703.404,304.51,77,371,2526.577
20260201B05,合計（確報値）,約定量合計（電源属地別）[MW],41,99,38.7,0,140,448.713,199.734,77,237,1281.147
20260201B05,合計（確報値）,応札件数（電源属地別）[件],13,1,6,0,2,7,7,5,6,47
20260201B05,合計（確報値）,約定件数（電源属地別）[件],7,1,1,0,2,6,7,5,4,33
20260201B05,合計（確報値）,最高約定価格（電源属地別）[円/kW・30分],0.37,2.23,0.36,0,0.35,12.31,0.56,15.71,0.38,15.71
