H,電力需給調整力取引所取引結果,対象年月,商品区分,ブロック数
P,確報値,202510,複合商品,8
TT,調達区分,取引情報,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,合計
20251001B03,追加調達結果,最高約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20251001B03,追加調達結果,最低約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20251001B03,追加調達結果,平均約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20251001B03,追加調達結果,最高約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20251001B03,追加調達結果,最低約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20251001B03,追加調達結果,平均約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20251001B03,追加調達結果,約定量合計（TSO別）[MW],0,0,0,0,0,0,0,0,0,0
20251001B03,追加調達結果,（内訳）自エリアからの約定量[MW],0,0,0,0,0,0,0,0,0,0
20251001B03,合計（確報値）,募集量（TSO別）[MW],82,1013,935,0,135,234,292,192,337,3220
20251001B03,合計（確報値）,応札量合計（電源属地別）[MW],216.29,559.069,458.139,1211.92,135,211.357,432.167,222,408.432,3854.374
20251001B03,合計（確報値）,約定量合計（電源属地別）[MW],114.29,559.069,382.039,606.92,135,119.757,201.173,160.455,192.519,2471.222
20251001B03,合計（確報値）,応札件数（電源属地別）[件],4,4,14,32,2,3,7,5,11,82
20251001B03,合計（確報値）,約定件数（電源属地別）[件],4,4,13,26,2,2,6,4,8,69
20251001B03,合計（確報値）,最高約定価格（電源属地別）[円/kW・30分],19.49,16.47,19.51,19.51,1.54,5.51,19.51,5.48,19.51,19.51
20251001B03,合計（確報値）,最低約定価格（電源属地別）[円/kW・30分],4.99,2.22,0.36,0.36,1.43,1.5,0.36,0.36,0.36,0.36
20251001B03,合計（確報値）,平均約定価格（電源属地別）[円/kW・30分],14.99,3.19,2.45,0.42,1.48,3.94,0.89,1.53,1.2,2.43
20251001B03,合計（確報値）,最高約定価格（TSO別）[円/kW・30分],19.49,16.47,19.51,0,1.54,19.51,19.51,5.51,19.51,19.51
20251001B03,合計（確報値）,最低約定価格（TSO別）[円/kW・30分],4.99,0.36,0.36,0,1.43,0.36,0.36,0.36,0.36,0.36
20251001B03,合計（確報値）,平均約定価格（TSO別）[円/kW・30分],14.99,2.33,1.68,0,1.48,2.49,0.95,1.29,1.19,2.43
