H,電力需給調整力取引所取引結果,対象年月,商品区分,ブロック数
P,速報値,202608,二次調整力2,48
TT,取引情報,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,合計
20260801B06,落札量合計（TSO別）[MW],90,237.74,610.323,311,30,0,101,82,291.55,1753.613
20260801B06,（内訳）自エリアからの落札量[MW],72.74,237.74,610.323,244.341,0,0,101,82,291.55,1639.694
20260801B07,募集量（TSO別）[MW],54,147,0,131,31,0,0,24,80,467
20260801B07,応札量合計（電源属地別）[MW],100.64,312,851.344,312.277,0,0,58.09,102,333.98,2070.331
20260801B07,落札量合計（電源属地別）[MW],96,255,841.702,226.298,0,0,58.09,79,245.497,1801.587
20260801B07,応札件数（電源属地別）[件],5,4,9,3,0,0,2,5,9,37
20260801B07,落札件数（電源属地別）[件],4,4,9,3,0,0,2,3,8,33
20260801B07,最高落札価格（電源属地別）[円/kW・30分],8.8,10.5,1.43,3.12,0,0,3.7,1.8,5.8,10.5
20260801B07,最低落札価格（電源属地別）[円/kW・30分],0.98,7.3,1.18,0.41,0,0,2.13,0.38,2.42,0.38
20260801B07,平均落札価格（電源属地別）[円/kW・30分],1.14,9.51,1.33,0.73,0,0,3.43,0.56,4.25,2.84
20260801B07,最高落札価格（TSO別）[円/kW・30分],8.8,10.5,1.43,3.12,1.43,0,3.7,1.8,5.8,10.5
20260801B07,最低落札価格（TSO別）[円/kW・30分],0.98,7.3,1.18,0.41,1.23,0,2.13,0.38,2.42,0.38
20260801B07,平均落札価格（TSO別）[円/kW・30分],1.14,9.51,1.34,0.88,1.33,0,3.43,0.56,4.25,2.84
20260801B07,落札量合計（TSO別）[MW],96,255,730,307,31,0,58.09,79,245.497,1801.587
20260801B07,（内訳）自エリアからの落札量[MW],96,255,730,226.298,0,0,58.09,79,245.497,1689.885
20260801B08,募集量（TSO別）[MW],57,151,0,130,31,0,0,24,84,477
20260801B08,応札量合計（電源属地別）[MW],100.64,312,851.344,344.077,0,0,58.09,102,329.98,2098.131
20260801B08,落札量合計（電源属地別）[MW],100.64,255,843.702,226.298,0,0,58.09,79,272.927,1835.657
20260801B08,応札件数（電源属地別）[件],5,4,9,3,0,0,2,5,8,36
20260801B08,落札件数（電源属地別）[件],5,4,9,3,0,0,2,3,8,34
20260801B08,最高落札価格（電源属地別）[円/kW・30分],9.4,9.12,1.52,3.41,0,0,3.7,1.8,5.8,9.4
20260801B08,最低落札価格（電源属地別）[円/kW・30分],0.98,6.29,1.32,0.47,0,0,2.13,0.38,2.42,0.38
20260801B08,平均落札価格（電源属地別）[円/kW・30分],1.53,8.28,1.44,0.79,0,0,3.43,0.56,4.08,2.73
20260801B08,最高落札価格（TSO別）[円/kW・30分],9.4,9.12,1.52,3.41,1.52,0,3.7,1.8,5.8,9.4
20260801B08,最低落札価格（TSO別）[円/kW・30分],0.98,6.29,1.32,0.47,1.47,0,2.13,0.38,2.42,0.38
20260801B08,平均落札価格（TSO別）[円/kW・30分],1.53,8.28,1.45,0.95,1.5,0,3.43,0.56,4.08,2.73
20260801B08,落札量合計（TSO別）[MW],100.64,255,730,309,31,0,58.09,79,272.927,1835.657
20260801B08,（内訳）自エリアからの落札量[MW],100.64,255,730,226.298,0,0,58.09,79,272.927,1721.955
20260801B09,募集量（TSO別）[MW],67,167,0,131,34,0,0,26,92,517
20260801B09,応札量合計（電源属地別）[MW],102.59,312,836.242,346.077,0,0,58.09,102,333.98,2090.979
20260801B09,落札量合計（電源属地別）[MW],98.84,255,805.732,226.298,0,0,58.09,78,299.98,1821.94
20260801B09,応札件数（電源属地別）[件],6,4,12,3,0,0,2,5,8,40
20260801B09,落札件数（電源属地別）[件],5,4,11,3,0,0,2,3,8,36
20260801B09,最高落札価格（電源属地別）[円/kW・30分],3.8,8.87,3.32,3.1,0,0,3.72,1.8,5.8,8.87
20260801B09,最低落札価格（電源属地別）[円/kW・30分],0.98,6.11,0.39,0.52,0,0,2.13,0.38,2.42,0.38
20260801B09,平均落札価格（電源属地別）[円/kW・30分],1.15,8.05,1.77,0.84,0,0,3.45,0.56,3.92,2.85
20260801B09,最高落札価格（TSO別）[円/kW・30分],3.8,8.87,3.32,3.29,1.91,0,3.72,1.8,5.8,8.87
20260801B09,最低落札価格（TSO別）[円/kW・30分],0.98,6.11,0.39,0.52,0.75,0,2.13,0.38,2.42,0.38
20260801B09,平均落札価格（TSO別）[円/kW・30分],1.15,8.05,1.71,1.24,1.48,0,3.45,0.56,3.92,2.85
20260801B09,落札量合計（TSO別）[MW],98.84,255,690.03,308,34,0,58.09,78,299.98,1821.94
20260801B09,（内訳）自エリアからの落札量[MW],98.84,255,690.03,226.298,0,0,58.09,78,299.98,1706.238
20260801B10,募集量（TSO別）[MW],70,174,0,132,34,0,0,28,96,534
20260801B10,応札量合計（電源属地別）[MW],102.59,312,623.733,346.077,0,0,58.09,101,335.98,1879.47
20260801B10,落札量合計（電源属地別）[MW],98.84,274,623.733,346.077,0,0,58.09,78,300.98,1779.72
20260801B10,応札件数（電源属地別）[件],6,4,12,3,0,0,2,5,9,41
20260801B10,落札件数（電源属地別）[件],5,4,12,3,0,0,2,3,8,37
20260801B10,最高落札価格（電源属地別）[円/kW・30分],3.8,7.74,3.42,2.79,0,0,3.77,1.8,5.65,7.74
20260801B10,最低落札価格（電源属地別）[円/kW・30分],0.98,5.11,0.42,0.91,0,0,2.13,0.38,2.42,0.38
20260801B10,平均落札価格（電源属地別）[円/kW・30分],1.15,6.7,2.17,1.75,0,0,3.49,0.58,3.9,2.99
20260801B10,最高落札価格（TSO別）[円/kW・30分],3.8,7.74,3.42,2.79,2.79,0,3.77,1.8,5.65,7.74
20260801B10,最低落札価格（TSO別）[円/kW・30分],0.98,5.11,0.42,0.91,1.42,0,2.13,0.38,2.42,0.38
20260801B10,平均落札価格（TSO別）[円/kW・30分],1.15,6.7,2.17,1.7,2.19,0,3.49,0.58,3.9,2.99
20260801B10,落札量合計（TSO別）[MW],98.84,274,623.733,312.077,34,0,58.09,78,300.98,1779.72
20260801B10,（内訳）自エリアからの落札量[MW],98.84,274,623.733,312.077,0,0,58.09,78,300.98,1745.72
20260801B11,募集量（TSO別）[MW],70,174,0,132,34,0,0,28,96,534
20260801B11,応札量合計（電源属地別）[MW],172.74,312,436.867,345.577,0,0,58.09,101,335.98,1762.254
20260801B11,落札量合計（電源属地別）[MW],112,274,436.867,345.577,0,0,58.09,78,298.99,1603.524
20260801B11,応札件数（電源属地別）[件],4,4,9,3,0,0,2,5,9,36
20260801B11,落札件数（電源属地別）[件],3,4,9,3,0,0,2,3,8,32
20260801B11,最高落札価格（電源属地別）[円/kW・30分],4.49,10.5,8.66,3.22,0,0,3.72,1.8,5.65,10.5
20260801B11,最低落札価格（電源属地別）[円/kW・30分],1.01,7.3,0.39,0.4,0,0,2.13,0.38,2.42,0.38
20260801B11,平均落札価格（電源属地別）[円/kW・30分],2.4,9.36,3.45,1.58,0,0,3.45,0.58,3.89,3.93
20260801B11,最高落札価格（TSO別）[円/kW・30分],4.49,10.5,8.66,3.22,0.75,0,3.72,1.8,5.65,10.5
20260801B11,最低落札価格（TSO別）[円/kW・30分],1.01,7.3,0.39,0.4,0.4,0,2.13,0.38,2.42,0.38
20260801B11,平均落札価格（TSO別）[円/kW・30分],2.4,9.36,3.45,1.7,0.49,0,3.45,0.58,3.89,3.93
