H,電力需給調整力取引所取引結果,対象年月,商品区分,ブロック数
P,速報値,202608,一次調整力,48
TT,取引情報,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,合計
20260801B12,応札件数（電源属地別）[件],8,20,63,51,2,17,20,9,38,228
20260801B12,落札件数（電源属地別）[件],7,20,53,37,2,12,9,4,32,176
20260801B12,最高落札価格（電源属地別）[円/kW・30分],9.4,15,14.31,11.67,6,7,6.99,1.8,6.8,15
20260801B12,最低落札価格（電源属地別）[円/kW・30分],0.99,5.85,0.39,0.79,6,1.42,2.13,0.36,3.02,0.36
20260801B12,平均落札価格（電源属地別）[円/kW・30分],1.95,11.69,4.34,5.91,6,3.45,3.43,0.48,5.02,4.4
20260801B12,最高落札価格（TSO別）[円/kW・30分],9.4,15,14.31,11.67,6,7,6.99,1.8,6.8,15
20260801B12,最低落札価格（TSO別）[円/kW・30分],0.99,5.85,0.39,0.79,0.36,0.36,0.36,0.36,3.02,0.36
20260801B12,平均落札価格（TSO別）[円/kW・30分],1.95,11.69,4.34,5.91,3.08,2.42,2.5,0.71,5.02,4.4
20260801B12,落札量合計（TSO別）[MW],136.1,107.693,453.917,121.325,53,137,100,47,167,1323.035
20260801B12,（内訳）自エリアからの落札量[MW],136.1,107.693,453.917,121.325,3.127,80.814,72.258,47,167,1189.234
20260801B13,募集量（TSO別）[MW],62,177,567,238,56,151,102,43,170,1566
20260801B13,応札量合計（電源属地別）[MW],160.558,107.693,479.822,157.969,3.127,91.438,146.001,191.858,178.944,1517.41
20260801B13,落札量合計（電源属地別）[MW],121.24,107.693,474.917,133.88,3.127,91.438,113.258,50,164.742,1260.295
20260801B13,応札件数（電源属地別）[件],8,20,66,54,2,17,20,9,38,234
20260801B13,落札件数（電源属地別）[件],6,20,64,42,2,17,3,3,31,188
20260801B13,最高落札価格（電源属地別）[円/kW・30分],11.5,15,14.48,11.67,10.5,13.85,3.03,1.8,4,15
20260801B13,最低落札価格（電源属地別）[円/kW・30分],0.99,5.85,0.39,1.9,7.5,1.44,2.13,0.36,1.53,0.36
20260801B13,平均落札価格（電源属地別）[円/kW・30分],3.28,12.36,4.92,7,9.35,6.18,2.91,0.66,3.4,5.17
20260801B13,最高落札価格（TSO別）[円/kW・30分],11.5,15,14.48,11.67,10.5,13.85,3.03,1.8,4,15
20260801B13,最低落札価格（TSO別）[円/kW・30分],0.99,5.85,0.39,1.9,7.5,1.44,2.13,0.36,1.53,0.36
20260801B13,平均落札価格（TSO別）[円/kW・30分],3.28,12.36,4.92,7,9.35,6.18,2.94,0.66,3.36,5.17
20260801B13,落札量合計（TSO別）[MW],121.24,107.693,474.917,133.88,3.127,91.438,108,50,170,1260.295
