H,電力需給調整力取引所取引結果,対象年月,商品区分,ブロック数
P,速報値,202603,一次調整力,48
TT,取引情報,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,合計
20260314B10,募集量（TSO別）[MW],9,194,459,54,58,263,143,40,161,1381
20260314B10,応札量合計（電源属地別）[MW],51.208,45.35,372.318,214.319,30,5.956,218.517,92.473,180.75,1210.891
20260314B10,落札量合計（電源属地別）[MW],40.3,45.35,372.318,54,30,5.956,151.554,44,170,913.478
20260314B10,応札件数（電源属地別）[件],6,4,40,22,1,3,9,6,13,104
20260314B10,落札件数（電源属地別）[件],6,4,40,5,1,3,5,3,7,74
20260314B10,最高落札価格（電源属地別）[円/kW・30分],4.53,15,15,2.18,2.21,15,6.18,4.78,6.31,15
20260314B10,最低落札価格（電源属地別）[円/kW・30分],2.5,1.31,0.36,0.5,2.21,15,1.17,0.35,4.29,0.35
20260314B10,平均落札価格（電源属地別）[円/kW・30分],4.22,2.09,2.34,1.13,2.21,15,4.08,1.66,5.76,3.31
20260314B10,最高落札価格（TSO別）[円/kW・30分],4.53,15,15,2.18,2.21,15,6.18,4.78,6.31,15
20260314B10,最低落札価格（TSO別）[円/kW・30分],2.5,1.31,0.36,0.5,2.21,15,1.17,0.35,4.29,0.35
20260314B10,平均落札価格（TSO別）[円/kW・30分],4.22,2.09,2.34,1.13,2.21,15,4.08,1.66,5.76,3.31
20260314B10,落札量合計（TSO別）[MW],40.3,45.35,372.318,54,30,5.956,151.554,44,170,913.478
20260314B10,（内訳）自エリアからの落札量[MW],40.3,45.35,372.318,54,30,5.956,151.554,44,170,913.478
20260314B11,募集量（TSO別）[MW],9,194,459,54,58,263,143,40,161,1381
20260314B11,応札量合計（電源属地別）[MW],44.158,45.35,342.259,180.101,30,5.956,218.517,92.473,180.75,1139.564
20260314B11,落札量合計（電源属地別）[MW],33.25,45.35,342.259,54,30,5.956,151.554,44,170,876.369
20260314B11,応札件数（電源属地別）[件],6,4,38,19,1,3,9,6,12,98
20260314B11,落札件数（電源属地別）[件],6,4,38,3,1,3,5,3,6,69
20260314B11,最高落札価格（電源属地別）[円/kW・30分],4.53,15,15,2.65,2.46,15,5.65,4.78,6.59,15
20260314B11,最低落札価格（電源属地別）[円/kW・30分],2.5,1.12,0.36,0.63,2.46,15,1.45,0.35,4.57,0.35
20260314B11,平均落札価格（電源属地別）[円/kW・30分],4.15,1.94,3.35,1.23,2.46,15,4.27,1.66,6.04,3.82
20260314B11,最高落札価格（TSO別）[円/kW・30分],4.53,15,15,2.65,2.46,15,5.65,4.78,6.59,15
20260314B11,最低落札価格（TSO別）[円/kW・30分],2.5,1.12,0.36,0.63,2.46,15,1.45,0.35,4.57,0.35
20260314B11,平均落札価格（TSO別）[円/kW・30分],4.15,1.94,3.35,1.23,2.46,15,4.27,1.66,6.04,3.82
20260314B11,落札量合計（TSO別）[MW],33.25,45.35,342.259,54,30,5.956,151.554,44,170,876.369
20260314B11,（内訳）自エリアからの落札量[MW],33.25,45.35,342.259,54,30,5.956,151.554,44,170,876.369
20260314B12,募集量（TSO別）[MW],9,194,459,54,58,263,143,40,161,1381
20260314B12,応札量合計（電源属地別）[MW],34.658,45.35,305.962,222.511,49,25.571,218.517,92.473,171.75,1165.792
20260314B12,落札量合計（電源属地別）[MW],23.75,45.35,305.962,56.498,49,25.571,151.554,44,161,862.685
20260314B12,応札件数（電源属地別）[件],5,4,38,21,2,4,9,6,12,101
20260314B12,落札件数（電源属地別）[件],5,4,38,4,2,4,5,3,6,71
20260314B12,最高落札価格（電源属地別）[円/kW・30分],4.5,15,15,2.96,4.43,15,5.4,4.78,6.72,15
20260314B12,最低落札価格（電源属地別）[円/kW・30分],2.5,1.01,0.36,0.47,2.6,1.27,1.58,0.35,4.7,0.35
20260314B12,平均落札価格（電源属地別）[円/kW・30分],4,1.86,2.94,0.7,3.31,4.47,4.38,1.66,6.2,3.63
20260314B12,最高落札価格（TSO別）[円/kW・30分],4.5,15,15,2.96,4.43,15,5.4,4.78,6.72,15
20260314B12,最低落札価格（TSO別）[円/kW・30分],2.5,1.01,0.36,0.47,2.6,1.27,1.58,0.35,4.7,0.35
20260314B12,平均落札価格（TSO別）[円/kW・30分],4,1.86,2.94,0.7,3.31,4.47,4.38,1.66,6.2,3.63
20260314B12,落札量合計（TSO別）[MW],23.75,45.35,305.962,56.498,49,25.571,151.554,44,161,862.685
20260314B12,（内訳）自エリアからの落札量[MW],23.75,45.35,305.962,56.498,49,25.571,151.554,44,161,862.685
20260314B13,募集量（TSO別）[MW],10,204,480,66,61,276,147,43,165,1452
20260314B13,応札量合計（電源属地別）[MW],52.918,45.35,174.138,164.291,0,7.826,218.517,61.473,151.25,875.763
20260314B13,落札量合計（電源属地別）[MW],44,45.35,174.138,114.99,0,7.826,212.588,43,151.25,793.142
20260314B13,応札件数（電源属地別）[件],6,4,35,18,0,4,9,5,11,92
20260314B13,落札件数（電源属地別）[件],6,4,35,6,0,4,6,2,11,74
20260314B13,最高落札価格（電源属地別）[円/kW・30分],9.91,15,15,3.43,0,15,11.94,9.66,15,15
20260314B13,最低落札価格（電源属地別）[円/kW・30分],2.98,0.75,0.36,2.95,0,13.98,1.78,4.77,4.89,0.36
20260314B13,平均落札価格（電源属地別）[円/kW・30分],8.01,1.67,4.36,3.23,0,14.76,6.72,5.79,6.83,5.53
20260314B13,最高落札価格（TSO別）[円/kW・30分],9.91,15,15,3.43,0,15,11.94,9.66,15,15
20260314B13,最低落札価格（TSO別）[円/kW・30分],2.98,0.75,0.36,2.95,0,13.98,1.78,4.77,4.89,0.36
20260314B13,平均落札価格（TSO別）[円/kW・30分],8.01,1.67,4.36,3.23,0,14.76,6.72,5.79,6.83,5.53
20260314B13,落札量合計（TSO別）[MW],44,45.35,174.138,114.99,0,7.826,212.588,43,151.25,793.142
20260314B13,（内訳）自エリアからの落札量[MW],44,45.35,174.138,114.99,0,7.826,212.588,43,151.25,793.142
20260314B14,募集量（TSO別）[MW],10,208,488,70,62,281,148,44,166,1477
20260314B14,応札量合計（電源属地別）[MW],52.918,45.35,225.698,126.165,17.22,7.826,218.517,61.473,155.25,910.417
20260314B14,落札量合計（電源属地別）[MW],44,45.35,225.698,119.071,17.22,7.826,214.556,50,155.25,878.971
20260314B14,応札件数（電源属地別）[件],6,4,36,16,1,4,9,5,11,92
20260314B14,落札件数（電源属地別）[件],6,4,36,13,1,4,7,4,11,86
20260314B14,最高落札価格（電源属地別）[円/kW・30分],9.91,15,15,15,10.87,15,12.13,10.56,15,15
20260314B14,最低落札価格（電源属地別）[円/kW・30分],2.98,2.12,0.36,3.19,10.87,11.98,1.55,4.77,4.67,0.36
20260314B14,平均落札価格（電源属地別）[円/kW・30分],8.01,2.74,3.58,4.55,10.87,14.28,9.66,6.3,6.59,6.3
20260314B14,最高落札価格（TSO別）[円/kW・30分],9.91,15,15,15,10.87,15,12.13,10.56,15,15
20260314B14,最低落札価格（TSO別）[円/kW・30分],2.98,2.12,0.36,3.19,10.87,11.98,1.55,4.77,4.67,0.36
20260314B14,平均落札価格（TSO別）[円/kW・30分],8.01,2.74,3.58,4.55,10.87,14.28,9.66,6.3,6.59,6.3
20260314B14,落札量合計（TSO別）[MW],44,45.35,225.698,119.071,17.22,7.826,214.556,50,155.25,878.971
20260314B14,（内訳）自エリアからの落札量[MW],44,45.35,225.698,119.071,17.22,7.826,214.556,50,155.25,878.971
20260314B15,募集量（TSO別）[MW],10,213,493,73,64,285,149,45,168,1500
20260314B15,応札量合計（電源属地別）[MW],155.918,33.35,235.68,91.175,87,7.826,232.628,61.473,168.25,1073.3
20260314B15,落札量合計（電源属地別）[MW],68,33.35,235.68,73,64,7.826,228.667,48,168.25,926.773
20260314B15,応札件数（電源属地別）[件],8,3,38,14,3,4,10,5,11,96
20260314B15,落札件数（電源属地別）[件],8,3,38,5,3,4,8,3,11,83
20260314B15,最高落札価格（電源属地別）[円/kW・30分],15,15,15,14.98,13.52,15,12.76,8.46,15,15
20260314B15,最低落札価格（電源属地別）[円/kW・30分],0.36,4.21,0.36,3.07,11.83,9.98,1.06,4.77,4.17,0.36
20260314B15,平均落札価格（電源属地別）[円/kW・30分],6.79,5.12,3.68,3.53,12.95,13.8,10.34,5.85,6.05,6.86
20260314B15,最高落札価格（TSO別）[円/kW・30分],15,15,15,14.98,13.52,15,12.76,8.46,15,15
20260314B15,最低落札価格（TSO別）[円/kW・30分],0.36,4.21,0.36,3.07,11.83,9.98,1.06,4.77,4.17,0.36
20260314B15,平均落札価格（TSO別）[円/kW・30分],6.79,5.12,3.68,3.53,12.95,13.8,10.34,5.85,6.05,6.86
20260314B15,落札量合計（TSO別）[MW],68,33.35,235.68,73,64,7.826,228.667,48,168.25,926.773
20260314B15,（内訳）自エリアからの落札量[MW],68,33.35,235.68,73,64,7.826,228.667,48,168.25,926.773
20260314B16,募集量（TSO別）[MW],10,216,498,76,64,288,150,46,168,1516
20260314B16,応札量合計（電源属地別）[MW],136.918,43.35,263.1,91.605,19,7.826,245.875,85.473,109.25,1002.397
20260314B16,落札量合計（電源属地別）[MW],128,43.35,263.1,76,19,7.826,241.914,64,109.25,952.44
20260314B16,応札件数（電源属地別）[件],7,3,39,15,1,4,10,6,8,93
20260314B16,落札件数（電源属地別）[件],7,3,39,8,1,4,8,3,8,81
20260314B16,最高落札価格（電源属地別）[円/kW・30分],15,15,15,15,3.96,15,14.6,7.16,15,15
20260314B16,最低落札価格（電源属地別）[円/kW・30分],2.98,3.57,0.36,0.36,3.96,6.98,0.36,0.37,3.73,0.36
