H,電力需給調整力取引所取引結果,対象年月,商品区分,ブロック数
P,確報値,202601,一次調整力,8
TT,調達区分,取引情報,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,合計
20260101B04,システム約定結果,応札件数（電源属地別）[件],6,3,29,6,2,10,7,3,8,74
20260101B04,システム約定結果,落札件数（電源属地別）[件],6,3,29,6,2,10,7,3,8,74
20260101B04,システム約定結果,最高落札価格（電源属地別）[円/kW・30分],19.51,17.54,19.51,19.51,0.35,19.51,19.51,19.5,19.51,19.51
20260101B04,システム約定結果,最低落札価格（電源属地別）[円/kW・30分],5.04,1.43,0.36,19.47,0.35,0.36,0.36,8.77,0.36,0.35
20260101B04,システム約定結果,平均落札価格（電源属地別）[円/kW・30分],12.11,6.65,11.25,19.49,0.35,2.93,0.71,11.23,10.46,5.05
20260101B04,システム約定結果,最高落札価格（TSO別）[円/kW・30分],19.51,17.54,19.51,19.51,0.35,19.51,19.51,19.5,19.51,19.51
20260101B04,システム約定結果,最低落札価格（TSO別）[円/kW・30分],5.04,1.43,0.36,19.47,0.35,0.36,0.36,0.39,0.36,0.35
20260101B04,システム約定結果,平均落札価格（TSO別）[円/kW・30分],12.11,6.65,11.25,19.49,0.35,2.79,0.77,8.59,10.46,5.05
20260101B04,システム約定結果,落札量合計（TSO別）[MW],56,47.17,78.415,11.707,60,217.754,138.983,36.93,21.17,668.129
20260101B04,システム約定結果,（内訳）自エリアからの落札量[MW],56,47.17,78.415,11.707,60,204.418,137.934,27.93,21.17,644.744
20260101B04,追加調達結果,募集量（TSO別）[MW],-,-,-,-,-,-,-,-,-,-
20260101B04,追加調達結果,応札量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20260101B04,追加調達結果,約定量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20260101B04,追加調達結果,応札件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20260101B04,追加調達結果,約定件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20260101B04,追加調達結果,最高約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260101B04,追加調達結果,最低約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260101B04,追加調達結果,平均約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260101B04,追加調達結果,最高約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260101B04,追加調達結果,最低約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260101B04,追加調達結果,平均約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260101B04,追加調達結果,約定量合計（TSO別）[MW],0,0,0,0,0,0,0,0,0,0
20260101B04,追加調達結果,（内訳）自エリアからの約定量[MW],0,0,0,0,0,0,0,0,0,0
20260101B04,合計（確報値）,募集量（TSO別）[MW],13,215,411,39,95,295,243,78,272,1661
20260101B04,合計（確報値）,応札量合計（電源属地別）[MW],146.74,47.17,78.415,11.707,110,205.467,160.27,27.93,21.17,808.869
20260101B04,合計（確報値）,約定量合計（電源属地別）[MW],56,47.17,78.415,11.707,60,203.488,160.27,16.93,21.17,655.15
20260101B04,合計（確報値）,応札件数（電源属地別）[件],6,3,29,6,6,10,7,3,8,78
20260101B04,合計（確報値）,約定件数（電源属地別）[件],6,3,29,6,3,9,7,2,8,73
20260101B04,合計（確報値）,最高約定価格（電源属地別）[円/kW・30分],19.51,17.54,19.51,19.51,0.35,19.51,19.51,19.5,19.51,19.51
20260101B04,合計（確報値）,最低約定価格（電源属地別）[円/kW・30分],5.04,1.43,0.36,19.47,0.35,0.36,0.36,8.77,0.36,0.35
20260101B04,合計（確報値）,平均約定価格（電源属地別）[円/kW・30分],12.11,6.65,11.25,19.49,0.35,2.77,0.71,9.99,10.46,4.87
20260101B04,合計（確報値）,最高約定価格（TSO別）[円/kW・30分],19.51,17.54,19.51,19.51,0.35,19.51,19.51,19.5,19.51,19.51
20260101B04,合計（確報値）,最低約定価格（TSO別）[円/kW・30分],5.04,1.43,0.36,19.47,0.35,0.36,0.36,0.39,0.36,0.35
20260101B04,合計（確報値）,平均約定価格（TSO別）[円/kW・30分],12.11,6.65,11.25,19.49,0.35,2.63,0.77,6.66,10.46,4.87
20260101B04,合計（確報値）,約定量合計（TSO別）[MW],56,47.17,78.415,11.707,60,215.775,138.983,25.93,21.17,655.15
20260101B04,合計（確報値）,（内訳）自エリアからの約定量[MW],56,47.17,78.415,11.707,60,202.439,137.934,16.93,21.17,631.765
20260101B05,システム約定結果,募集量（TSO別）[MW],11,167,353,0,85,240,244,82,278,1460
20260101B05,システム約定結果,応札量合計（電源属地別）[MW],142.75,48.52,78.415,7.718,60,201.509,160.27,27.93,21.17,748.282
20260101B05,システム約定結果,落札量合計（電源属地別）[MW],30,48.52,78.415,0,60,201.509,160.27,27.93,21.17,627.814
20260101B05,システム約定結果,応札件数（電源属地別）[件],5,4,29,4,2,8,7,3,8,70
20260101B05,システム約定結果,落札件数（電源属地別）[件],2,4,29,0,2,8,7,3,8,63
20260101B05,システム約定結果,最高落札価格（電源属地別）[円/kW・30分],5.11,19.51,19.51,0,0.35,19.51,19.51,19.5,19.51,19.51
20260101B05,システム約定結果,最低落札価格（電源属地別）[円/kW・30分],2.9,1.43,0.36,0,0.35,0.36,0.36,8.43,0.36,0.35
20260101B05,システム約定結果,平均落札価格（電源属地別）[円/kW・30分],4.3,6.92,11.25,0,0.35,2.39,0.69,10.21,10.46,3.93
20260101B05,システム約定結果,最高落札価格（TSO別）[円/kW・30分],5.11,19.51,19.51,0,0.35,19.51,19.51,19.5,19.51,19.51
20260101B05,システム約定結果,最低落札価格（TSO別）[円/kW・30分],2.9,1.43,0.36,0,0.35,0.36,0.36,0.55,0.36,0.35
20260101B05,システム約定結果,平均落札価格（TSO別）[円/kW・30分],4.3,6.92,11.25,0,0.35,3.52,0.69,6.42,5.18,3.93
20260101B05,システム約定結果,落札量合計（TSO別）[MW],30,48.52,78.415,0,60,124.796,195.8,45.93,44.353,627.814
20260101B05,システム約定結果,（内訳）自エリアからの落札量[MW],30,48.52,78.415,0,60,124.796,137.087,27.93,21.17,527.918
